Position (mm);Force (N);Strain (%);Time (min)
0.00;1.67;0.000167;0.00221
0.00400;54.6;0.00146;0.00752
0.0100;119;0.00300;0.0128
0.0150;153;0.00368;0.0181
0.0205;178;0.00433;0.0235
0.0260;198;0.00467;0.0288
0.0310;217;0.00504;0.0341
0.0368;232;0.00546;0.0394
0.0420;225;0.00550;0.0447
0.0470;198;0.00583;0.0500
0.0521;200;0.00651;0.0553
0.0580;202;0.00725;0.0606
0.0630;200;0.00783;0.0660
0.0680;207;0.00850;0.0713
0.0738;208;0.00917;0.0766
0.0790;212;0.00983;0.0819
0.0840;215;0.0103;0.0872
0.0900;217;0.0110;0.0925
0.0950;218;0.0115;0.0978
0.100;220;0.0120;0.103
0.105;222;0.0125;0.108
0.111;223;0.0132;0.114
0.116;230;0.0137;0.119
0.122;233;0.0142;0.124
0.127;235;0.0147;0.130
0.132;238;0.0152;0.135
0.137;242;0.0155;0.140
0.143;247;0.0160;0.146
0.148;253;0.0165;0.151
0.153;262;0.0170;0.156
0.159;270;0.0173;0.162
0.164;280;0.0177;0.167
0.169;293;0.0182;0.172
0.175;307;0.0185;0.178
0.180;322;0.0188;0.183
0.185;333;0.0192;0.188
0.190;345;0.0194;0.193
0.196;354;0.0197;0.199
0.201;363;0.0200;0.204
0.207;372;0.0202;0.209
0.212;381;0.0205;0.215
0.217;388;0.0208;0.220
0.222;397;0.0210;0.225
0.228;405;0.0212;0.231
0.233;412;0.0215;0.236
0.238;418;0.0217;0.241
0.244;427;0.0220;0.247
0.249;435;0.0222;0.252
0.254;440;0.0223;0.257
0.260;338;0.0197;0.263
0.265;382;0.0208;0.268
0.270;413;0.0217;0.273
0.276;440;0.0223;0.278
0.281;455;0.0225;0.284
0.286;463;0.0228;0.289
0.291;470;0.0230;0.294
0.297;478;0.0233;0.300
0.302;487;0.0235;0.305
0.307;493;0.0237;0.310
0.313;502;0.0239;0.316
0.318;508;0.0242;0.321
0.323;515;0.0243;0.326
0.328;522;0.0244;0.332
0.334;528;0.0247;0.337
0.339;537;0.0248;0.342
0.345;545;0.0250;0.347
0.350;552;0.0252;0.353
0.355;557;0.0253;0.358
0.360;563;0.0255;0.363
0.366;572;0.0257;0.369
0.371;578;0.0260;0.374
0.376;585;0.0262;0.379
0.382;593;0.0263;0.385
0.387;599;0.0265;0.390
0.392;605;0.0267;0.395
0.398;612;0.0268;0.401
0.403;620;0.0270;0.406
0.408;627;0.0272;0.411
0.414;635;0.0274;0.417
0.419;642;0.0276;0.422
0.424;648;0.0278;0.427
0.430;655;0.0280;0.432
0.435;664;0.0282;0.438
0.440;672;0.0283;0.443
0.446;680;0.0285;0.448
0.451;687;0.0287;0.454
0.456;693;0.0288;0.459
0.461;702;0.0290;0.464
0.467;708;0.0293;0.470
0.472;718;0.0295;0.475
0.477;726;0.0297;0.480
0.483;733;0.0298;0.486
0.488;741;0.0300;0.491
0.493;748;0.0302;0.496
0.499;757;0.0305;0.502
0.504;766;0.0307;0.507
0.509;775;0.0308;0.512
0.515;783;0.0311;0.517
0.520;792;0.0313;0.523
0.525;798;0.0315;0.528
0.530;807;0.0317;0.533
0.536;817;0.0318;0.539
0.541;825;0.0322;0.544
0.546;834;0.0323;0.549
0.552;842;0.0325;0.555
0.557;850;0.0327;0.560
0.562;858;0.0330;0.565
0.568;867;0.0332;0.571
0.573;877;0.0333;0.576
0.578;885;0.0335;0.581
0.584;893;0.0338;0.587
0.589;902;0.0339;0.592
0.594;910;0.0342;0.597
0.599;920;0.0345;0.602
0.605;930;0.0347;0.608
0.610;939;0.0348;0.613
0.616;948;0.0350;0.618
0.621;957;0.0353;0.624
0.626;967;0.0355;0.629
0.631;975;0.0357;0.634
0.637;985;0.0359;0.640
0.642;995;0.0362;0.645
0.647;1000;0.0363;0.650
0.653;1010;0.0365;0.656
0.658;1020;0.0368;0.661
0.663;1030;0.0370;0.666
0.669;1040;0.0372;0.672
0.674;1050;0.0375;0.677
0.679;1060;0.0377;0.682
0.684;1070;0.0378;0.687
0.690;1080;0.0382;0.693
0.695;1090;0.0383;0.698
0.701;1100;0.0386;0.703
0.706;1110;0.0388;0.709
0.711;1120;0.0390;0.714
0.716;1130;0.0393;0.719
0.722;1140;0.0395;0.725
0.727;1150;0.0397;0.730
0.732;1160;0.0400;0.735
0.738;1170;0.0402;0.741
0.743;1180;0.0405;0.746
0.748;1190;0.0407;0.751
0.754;1210;0.0410;0.757
0.759;1220;0.0412;0.762
0.764;1230;0.0415;0.767
0.770;1240;0.0417;0.772
0.775;1250;0.0420;0.778
0.780;1260;0.0422;0.783
0.786;1270;0.0425;0.788
0.791;1280;0.0428;0.794
0.796;1290;0.0432;0.799
0.802;1310;0.0433;0.804
0.807;1320;0.0437;0.810
0.812;1330;0.0438;0.815
0.817;1340;0.0442;0.820
0.823;1350;0.0445;0.826
0.828;1360;0.0447;0.831
0.833;1370;0.0450;0.836
0.839;1390;0.0453;0.842
0.844;1400;0.0456;0.847
0.849;1410;0.0458;0.852
0.854;1420;0.0462;0.857
0.860;1430;0.0465;0.863
0.865;1450;0.0467;0.868
0.870;1460;0.0470;0.873
0.876;1470;0.0473;0.879
0.881;1480;0.0476;0.884
0.886;1500;0.0478;0.889
0.892;1510;0.0482;0.895
0.897;1520;0.0485;0.900
0.902;1530;0.0488;0.905
0.907;1550;0.0491;0.911
0.913;1560;0.0495;0.916
0.918;1570;0.0497;0.921
0.924;1590;0.0500;0.927
0.929;1600;0.0503;0.932
0.934;1610;0.0507;0.937
0.940;1620;0.0510;0.942
0.945;1640;0.0513;0.948
0.950;1650;0.0517;0.953
0.955;1670;0.0520;0.958
0.961;1680;0.0523;0.964
0.966;1690;0.0527;0.969
0.971;1710;0.0529;0.974
0.977;1720;0.0533;0.980
0.982;1730;0.0537;0.985
0.987;1750;0.0540;0.990
0.993;1760;0.0543;0.996
0.998;1780;0.0547;1.00
1.00;1790;0.0550;1.01
1.01;1800;0.0553;1.01
1.01;1820;0.0557;1.02
1.02;1830;0.0560;1.02
1.02;1850;0.0563;1.03
1.03;1860;0.0567;1.03
1.04;1870;0.0570;1.04
1.04;1890;0.0573;1.04
1.05;1900;0.0578;1.05
1.05;1920;0.0580;1.05
1.06;1930;0.0584;1.06
1.06;1950;0.0588;1.06
1.07;1960;0.0592;1.07
1.07;1980;0.0595;1.08
1.08;1990;0.0600;1.08
1.08;2010;0.0603;1.09
1.09;2020;0.0607;1.09
1.09;2040;0.0610;1.10
1.10;2050;0.0613;1.10
1.10;2070;0.0618;1.11
1.11;2080;0.0622;1.11
1.12;2100;0.0625;1.12
1.12;2110;0.0628;1.12
1.13;2130;0.0632;1.13
1.13;2140;0.0637;1.13
1.14;2160;0.0640;1.14
1.14;2180;0.0643;1.14
1.15;2190;0.0648;1.15
1.15;2210;0.0652;1.15
1.16;2220;0.0657;1.16
1.16;2240;0.0660;1.17
1.17;2250;0.0663;1.17
1.17;2270;0.0668;1.18
1.18;2290;0.0672;1.18
1.18;2300;0.0677;1.19
1.19;2320;0.0680;1.19
1.19;2330;0.0685;1.20
1.20;2350;0.0688;1.20
1.21;2370;0.0692;1.21
1.21;2380;0.0697;1.21
1.22;1970;0.0497;1.22
1.22;1840;0.0415;1.22
1.23;1910;0.0432;1.23
1.23;1980;0.0450;1.23
1.24;2050;0.0467;1.24
1.24;2120;0.0484;1.25
1.25;2190;0.0502;1.25
1.25;2260;0.0519;1.26
1.26;2320;0.0535;1.26
1.26;2380;0.0550;1.27
1.27;2420;0.0560;1.27
1.27;2440;0.0565;1.28
1.28;2450;0.0568;1.28
1.29;2470;0.0572;1.29
1.29;2480;0.0577;1.29
1.30;2500;0.0582;1.30
1.30;2520;0.0585;1.30
1.31;2540;0.0590;1.31
1.31;2550;0.0595;1.31
1.32;2570;0.0598;1.32
1.32;2590;0.0603;1.32
1.33;2610;0.0608;1.33
1.33;2620;0.0613;1.34
1.34;2640;0.0617;1.34
1.34;2660;0.0622;1.35
1.35;2680;0.0627;1.35
1.35;2690;0.0632;1.36
1.36;2710;0.0635;1.36
1.36;2730;0.0640;1.37
1.37;2750;0.0645;1.37
1.38;2770;0.0650;1.38
1.38;2790;0.0655;1.38
1.39;2800;0.0660;1.39
1.39;2820;0.0663;1.39
1.40;2840;0.0668;1.40
1.40;2860;0.0673;1.40
1.41;2880;0.0678;1.41
1.41;2900;0.0683;1.42
1.42;2910;0.0688;1.42
1.42;2930;0.0693;1.43
1.43;2950;0.0698;1.43
1.43;2970;0.0703;1.44
1.44;2990;0.0708;1.44
1.44;3010;0.0713;1.45
1.45;3030;0.0718;1.45
1.46;3050;0.0723;1.46
1.46;3070;0.0728;1.46
1.47;3090;0.0733;1.47
1.47;3110;0.0740;1.47
1.48;3130;0.0745;1.48
1.48;3150;0.0750;1.48
1.49;3160;0.0755;1.49
1.49;3180;0.0760;1.49
1.50;3210;0.0767;1.50
1.50;3230;0.0772;1.51
1.51;3250;0.0777;1.51
1.51;3260;0.0782;1.52
1.52;3290;0.0787;1.52
1.52;3300;0.0792;1.53
1.53;3320;0.0797;1.53
1.53;3350;0.0803;1.54
1.54;3370;0.0808;1.54
1.55;3390;0.0814;1.55
1.55;3410;0.0820;1.55
1.56;3430;0.0825;1.56
1.56;3450;0.0830;1.56
1.57;3470;0.0837;1.57
1.57;3490;0.0842;1.57
1.58;3510;0.0847;1.58
1.58;3530;0.0853;1.59
1.59;3550;0.0858;1.59
1.59;3570;0.0863;1.60
1.60;3590;0.0870;1.60
1.60;3610;0.0877;1.61
1.61;3630;0.0882;1.61
1.61;3650;0.0887;1.62
1.62;3680;0.0892;1.62
1.63;3700;0.0898;1.63
1.63;3720;0.0905;1.63
1.64;3740;0.0910;1.64
1.64;3760;0.0917;1.64
1.65;3780;0.0922;1.65
1.65;3800;0.0928;1.65
1.66;3830;0.0934;1.66
1.66;3850;0.0940;1.66
1.67;3870;0.0945;1.67
1.67;3890;0.0952;1.68
1.68;3910;0.0957;1.68
1.68;3930;0.0963;1.69
1.69;3960;0.0968;1.69
1.69;3980;0.0975;1.70
1.70;4000;0.0981;1.70
1.70;4020;0.0987;1.71
1.71;4040;0.0993;1.71
1.72;4070;0.0998;1.72
1.72;4090;0.101;1.72
1.73;4110;0.101;1.73
1.73;4130;0.102;1.73
1.74;4160;0.102;1.74
1.74;4180;0.103;1.74
1.75;4200;0.104;1.75
1.75;4220;0.104;1.76
1.76;4240;0.105;1.76
1.76;4270;0.105;1.77
1.77;4290;0.106;1.77
1.77;4310;0.107;1.78
1.78;4330;0.107;1.78
1.78;4350;0.108;1.79
1.79;4380;0.108;1.79
1.80;4400;0.109;1.80
1.80;4420;0.110;1.80
1.81;4450;0.110;1.81
1.81;4470;0.111;1.81
1.82;4490;0.112;1.82
1.82;4510;0.112;1.82
1.83;4540;0.113;1.83
1.83;4560;0.113;1.83
1.84;4580;0.114;1.84
1.84;4600;0.115;1.85
1.85;4630;0.115;1.85
1.85;4650;0.116;1.86
1.86;4670;0.116;1.86
1.86;4700;0.117;1.87
1.87;4720;0.118;1.87
1.87;4740;0.118;1.88
1.88;4760;0.119;1.88
1.89;4780;0.120;1.89
1.89;4810;0.120;1.89
1.90;4830;0.121;1.90
1.90;4620;0.116;1.90
1.91;4690;0.118;1.91
1.91;4760;0.120;1.91
1.92;4820;0.122;1.92
1.92;4870;0.123;1.93
1.93;4900;0.123;1.93
1.93;4920;0.124;1.94
1.94;4940;0.125;1.94
1.94;4970;0.125;1.95
1.95;4990;0.126;1.95
1.95;5010;0.126;1.96
1.96;5040;0.127;1.96
1.97;5060;0.128;1.97
1.97;5090;0.128;1.97
1.98;5110;0.129;1.98
1.98;5140;0.130;1.98
1.99;5160;0.131;1.99
1.99;5180;0.131;1.99
2.00;5210;0.132;2.00
2.00;5230;0.132;2.00
2.01;5260;0.133;2.01
2.01;5280;0.134;2.02
2.02;5310;0.134;2.02
2.02;5330;0.135;2.03
2.03;5360;0.136;2.03
2.03;5380;0.136;2.04
2.04;5410;0.137;2.04
2.04;5430;0.138;2.05
2.05;5450;0.138;2.05
2.06;5480;0.139;2.06
2.06;5500;0.140;2.06
2.07;5530;0.140;2.07
2.07;5550;0.141;2.07
2.08;5580;0.142;2.08
2.08;5600;0.142;2.08
2.09;5630;0.143;2.09
2.09;5650;0.144;2.10
2.10;5680;0.144;2.10
2.10;5700;0.145;2.11
2.11;5730;0.146;2.11
2.11;5750;0.146;2.12
2.12;5780;0.147;2.12
2.12;5800;0.147;2.13
2.13;5830;0.148;2.13
2.13;5850;0.149;2.14
2.14;5880;0.149;2.14
2.15;5900;0.150;2.15
2.15;5930;0.151;2.15
2.16;5950;0.152;2.16
2.16;5980;0.152;2.16
2.17;6010;0.153;2.17
2.17;6030;0.154;2.17
2.18;6050;0.154;2.18
2.18;6080;0.155;2.19
2.19;6110;0.155;2.19
2.19;6130;0.156;2.20
2.20;6160;0.157;2.20
2.20;6180;0.157;2.21
2.21;6210;0.158;2.21
2.21;6230;0.159;2.22
2.22;6260;0.160;2.22
2.23;6280;0.160;2.23
2.23;6310;0.161;2.23
2.24;6340;0.162;2.24
2.24;6360;0.162;2.24
2.25;6390;0.163;2.25
2.25;6410;0.163;2.25
2.26;6440;0.164;2.26
2.26;6470;0.165;2.27
2.27;6490;0.166;2.27
2.27;6520;0.166;2.28
2.28;6540;0.167;2.28
2.28;6570;0.168;2.29
2.29;6590;0.168;2.29
2.29;6620;0.169;2.30
2.30;6650;0.170;2.30
2.30;6670;0.170;2.31
2.31;6700;0.171;2.31
2.32;6720;0.172;2.32
2.32;6750;0.172;2.32
2.33;6780;0.173;2.33
2.33;6800;0.174;2.33
2.34;6830;0.175;2.34
2.34;6850;0.175;2.34
2.35;6880;0.176;2.35
2.35;6910;0.177;2.36
2.36;6930;0.177;2.36
2.36;6960;0.178;2.37
2.37;6990;0.179;2.37
2.37;7010;0.179;2.38
2.38;7040;0.180;2.38
2.38;7060;0.181;2.39
2.39;7090;0.182;2.39
2.40;7120;0.182;2.40
2.40;7150;0.183;2.40
2.41;7170;0.184;2.41
2.41;7200;0.184;2.41
2.42;7220;0.185;2.42
2.42;7250;0.186;2.42
2.43;7280;0.186;2.43
2.43;7300;0.187;2.44
2.44;7330;0.188;2.44
2.44;7360;0.189;2.45
2.45;7380;0.189;2.45
2.45;7410;0.190;2.46
2.46;7440;0.191;2.46
2.46;7460;0.191;2.47
2.47;7490;0.192;2.47
2.48;7520;0.193;2.48
2.48;7540;0.193;2.48
2.49;7570;0.194;2.49
2.49;7600;0.195;2.49
2.50;7630;0.196;2.50
2.50;7650;0.196;2.50
2.51;7680;0.197;2.51
2.51;7710;0.198;2.51
2.52;7730;0.199;2.52
2.52;7760;0.199;2.53
2.53;7790;0.200;2.53
2.53;7820;0.201;2.54
2.54;7840;0.201;2.54
2.54;7870;0.202;2.55
2.55;7900;0.203;2.55
2.55;7920;0.203;2.56
2.56;7950;0.204;2.56
2.57;7980;0.205;2.57
2.57;8010;0.206;2.57
2.58;8030;0.206;2.58
2.58;8060;0.207;2.58
2.59;8090;0.208;2.59
2.59;8110;0.208;2.59
2.60;8140;0.209;2.60
2.60;8170;0.210;2.61
2.61;8200;0.211;2.61
2.61;8220;0.211;2.62
2.62;8250;0.212;2.62
2.62;8280;0.213;2.63
2.63;8310;0.213;2.63
2.63;8340;0.214;2.64
2.64;8360;0.215;2.64
2.65;8390;0.216;2.65
2.65;8420;0.216;2.65
2.66;8450;0.217;2.66
2.66;8470;0.218;2.66
2.67;8500;0.219;2.67
2.67;8530;0.219;2.67
2.68;8560;0.220;2.68
2.68;8590;0.221;2.68
2.69;8610;0.221;2.69
2.69;8640;0.222;2.70
2.70;8670;0.223;2.70
2.70;8700;0.224;2.71
2.71;8730;0.224;2.71
2.71;8750;0.225;2.72
2.72;8780;0.226;2.72
2.72;8810;0.227;2.73
2.73;8840;0.227;2.73
2.74;8870;0.228;2.74
2.74;8900;0.229;2.74
2.75;8930;0.230;2.75
2.75;8950;0.230;2.75
2.76;8980;0.231;2.76
2.76;9010;0.232;2.76
2.77;9040;0.233;2.77
2.77;9070;0.233;2.78
2.78;9100;0.234;2.78
2.78;9120;0.235;2.79
2.79;9150;0.236;2.79
2.79;9180;0.236;2.80
2.80;9210;0.237;2.80
2.80;9240;0.238;2.81
2.81;9270;0.239;2.81
2.82;9300;0.239;2.82
2.82;9330;0.240;2.82
2.83;9360;0.241;2.83
2.83;9380;0.242;2.83
2.84;9410;0.242;2.84
2.84;9440;0.243;2.84
2.85;9470;0.244;2.85
2.85;9500;0.245;2.85
2.86;9530;0.245;2.86
2.86;9560;0.246;2.87
2.87;9590;0.247;2.87
2.87;9620;0.248;2.88
2.88;9650;0.249;2.88
2.88;9680;0.249;2.89
2.89;9700;0.250;2.89
2.89;9730;0.251;2.90
2.90;9760;0.252;2.90
2.91;9790;0.252;2.91
2.91;9820;0.253;2.91
2.92;9850;0.254;2.92
2.92;9880;0.255;2.92
2.93;9910;0.255;2.93
2.93;9940;0.256;2.93
2.94;9970;0.257;2.94
2.94;10000;0.258;2.95
2.95;10000;0.259;2.95
2.95;10100;0.259;2.96
2.96;10100;0.260;2.96
2.96;10100;0.261;2.97
